RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6617       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        05-Oct-2017 18:45:18
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6617
DATE_: 05-Oct-2017 18:45:18
TITLE: Pb (2 1.0 0) E scan
COMND: sc qh 2 1.0 0 5 dqh 0 0 0 0.5 np 21 mn 3000
POSQE: QH=  2.0000, QK=  1.0000, QL=  0.0000, EN=  0.0002, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-28.3871, A2      =-56.7782, A3      =-70.4350, 
VARIA: A4      = 92.2570, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.6830, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    2.0000    1.0000    0.0000    0.0002     3000    18650     19.46     2483       80   1949630  92.2570 
   2    2.0001    0.9997    0.0000    0.4998     3000    20012     20.81       23       60   2084223  90.4570 
   3    1.9999    1.0003    0.0000    1.0002     3000    21005     21.91        8       28   2195197  88.7670 
   4    2.0000    1.0000    0.0000    1.4997     3000    24949     25.75        8       29   2580646  87.1670 
   5    2.0000    1.0000    0.0000    2.0002     3000    25692     26.85       15       27   2689556  85.6350 
   6    2.0001    1.0000    0.0000    2.4999     3000    27750     28.74       11       36   2879089  84.1820 
   7    2.0001    1.0000    0.0000    2.9997     3000    27723     28.85       32       32   2890047  82.7870 
   8    2.0001    0.9999    0.0000    3.5003     3000    29344     30.36       55       25   3041898  81.4450 
   9    1.9999    0.9998    0.0000    4.0000     3000    31611     35.88      111       34   3245828  80.1420 
  10    2.0000    1.0000    0.0000    4.5004     3000    34944     35.96       64       13   3596364  78.8970 
  11    2.0000    1.0002    0.0000    4.9999     3000    38738     40.21       24       23   4026898  77.6900 
  12    2.0001    0.9999    0.0000    5.5004     3000    35641     36.92       19       25   3699160  76.5150 
  13    2.0001    1.0000    0.0000    6.0007     3000    36338     37.98        6       30   3806256  75.3720 
  14    2.0000    1.0000    0.0000    6.4998     3000    37556     39.20        9       29   3928091  74.2600 
  15    2.0000    1.0001    0.0000    6.9997     3000    42894     44.71        4       23   4480432  73.1750 
  16    2.0001    0.9998    0.0000    7.4995     3000    51409     53.55       11       45   5365494  72.1150 
  17    2.0000    1.0001    0.0000    8.0007     3000    52482     54.34        9       25   5447482  71.0750 
  18    2.0000    1.0001    0.0000    8.5005     3000    56789     58.54       10       22   5867177  70.0600 
  19    2.0001    0.9998    0.0000    9.0000     3000    54954     60.81        9       36   5736137  69.0600 
  20    2.0000    1.0000    0.0000    9.5010     3000    54520     56.49        5       24   5657919  68.0800 
  21    1.9999    1.0000    0.0000    9.9998     3000    55194     57.38        3       17   5750669  67.1170 
