RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6624       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        05-Oct-2017 20:48:13
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6624
DATE_: 05-Oct-2017 20:48:13
TITLE: Pb (2 0.3 0) E scan
COMND: sc qh 2 0.3 0 5 dqh 0 0 0 0.5 np 21 mn 3000
POSQE: QH=  2.0000, QK=  0.2996, QL=  0.0000, EN=  0.0002, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-28.3871, A2      =-56.7782, A3      =-57.8280, 
VARIA: A4      = 81.3820, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.6830, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    2.0000    0.2996    0.0000    0.0002     3000    18627     19.37       84       78   1929236  81.3820 
   2    2.0002    0.3001    0.0000    0.4998     3000    20004     20.88       31       81   2091814  79.9000 
   3    1.9998    0.3000    0.0000    1.0002     3000    20528     21.42       33      106   2148422  78.4600 
   4    2.0000    0.2999    0.0000    1.4997     3000    25575     26.66       46      121   2673412  77.1050 
   5    2.0000    0.2999    0.0000    2.0002     3000    26071     27.37      140      112   2744155  75.7950 
   6    2.0000    0.3001    0.0000    2.4999     3000    27368     28.41      294      213   2847546  74.5370 
   7    2.0001    0.2998    0.0000    2.9997     3000    27542     28.56      138      511   2865420  73.3220 
   8    2.0000    0.3001    0.0000    3.4998     3000    29895     30.91       40      167   3100628  72.1400 
   9    2.0000    0.2999    0.0000    4.0000     3000    31118     32.36       19      102   3244154  70.9950 
  10    2.0001    0.2999    0.0000    4.5004     3000    35587     36.90       10       80   3701988  69.8800 
  11    2.0000    0.3002    0.0000    4.9999     3000    39805     41.31        9       67   4142060  68.7950 
  12    2.0000    0.2998    0.0000    5.5004     3000    36035     37.14        7       75   3725101  67.7270 
  13    2.0000    0.3000    0.0000    6.0007     3000    35686     37.58        7       63   3769526  66.6900 
  14    2.0001    0.3000    0.0000    6.5005     3000    39302     44.17        2       47   4075410  65.6720 
  15    2.0000    0.3000    0.0000    6.9997     3000    43315     45.35        0       56   4544737  64.6720 
  16    2.0000    0.2999    0.0000    7.5003     3000    51800     53.84        3       45   5393587  63.6900 
  17    2.0000    0.3000    0.0000    8.0007     3000    52347     54.40        1       55   5451820  62.7250 
  18    2.0000    0.3000    0.0000    8.5005     3000    52289     54.25        4       40   5434877  61.7750 
  19    2.0000    0.2999    0.0000    9.0000     3000    53359     55.57        3       42   5570481  60.8350 
  20    2.0001    0.3000    0.0000    9.5001     3000    54475     56.56       11       34   5668204  59.9100 
  21    2.0001    0.2998    0.0000    9.9998     3000    54817     57.02        4       36   5712974  58.9950 
