RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6632       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        05-Oct-2017 22:58:59
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6632
DATE_: 05-Oct-2017 22:58:59
TITLE: Pb (1.5 0 0) E scan
COMND: sc qh 1.5 0 0 5 dqh 0 0 0 0.5 np 21 mn 3000
POSQE: QH=  1.5000, QK=  0.0000, QL=  0.0000, EN=  0.0002, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-28.3871, A2      =-56.7782, A3      =-61.0800, 
VARIA: A4      = 57.8400, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.6830, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.5000    0.0000    0.0000    0.0002     3000    18461     19.16       43       23   1917569  57.8400 
   2    1.5002    0.0001    0.0000    0.5001     3000    20210     21.04        6       21   2105324  56.8650 
   3    1.5002    0.0001    0.0000    1.0002     3000    20680     21.94        7       25   2196251  55.9020 
   4    1.4998   -0.0000    0.0000    1.4997     3000    25337     26.63        6       27   2664471  54.9420 
   5    1.5001    0.0001    0.0000    2.0002     3000    26687     27.75        7       28   2777651  54.0150 
   6    1.5001   -0.0000    0.0000    2.4999     3000    27541     28.51       12       34   2853562  53.0850 
   7    1.5001    0.0000    0.0000    3.0002     3000    28584     31.98       31       39   2936810  52.1600 
   8    1.5001    0.0000    0.0000    3.5003     3000    29705     31.35       29       22   3075916  51.2470 
   9    1.5001    0.0001    0.0000    4.0005     3000    30367     31.76       11       28   3176272  50.3350 
  10    1.5001   -0.0001    0.0000    4.5004     3000    35416     37.03        5       22   3703763  49.4370 
  11    1.4999   -0.0001    0.0000    4.9999     3000    41021     42.92        1       20   4294580  48.5370 
  12    1.5000   -0.0000    0.0000    5.5004     3000    34885     36.49        4       22   3649921  47.6470 
  13    1.4999   -0.0001    0.0000    6.0007     3000    37226     38.44        8       17   3845611  46.7500 
  14    1.5000   -0.0001    0.0000    6.5005     3000    37538     39.32        4       15   3931600  45.8620 
  15    1.5000   -0.0000    0.0000    7.0004     3000    45320     47.07       11       14   4708173  44.9720 
  16    1.4999   -0.0000    0.0000    7.4995     3000    51159     53.99       10       23   5399826  44.0820 
  17    1.5000   -0.0000    0.0000    8.0007     3000    53407     55.68       10       23   5568400  43.1920 
  18    1.5000    0.0001    0.0000    8.5005     3000    54576     60.24        5       16   5657452  42.3000 
  19    1.5001   -0.0001    0.0000    9.0000     3000    53075     55.55        4       25   5554956  41.4050 
  20    1.5000   -0.0000    0.0000    9.5001     3000    54007     56.24        3       11   5622618  40.5050 
  21    1.5000   -0.0001    0.0000    9.9998     3000    55829     58.53        5       18   5853750  39.6050 
