RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6638       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        06-Oct-2017 02:44:14
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6638
DATE_: 06-Oct-2017 02:44:14
TITLE: Pb (1.1 0 0) E scan
COMND: sc qh 1.1 0 0 5 dqh 0 0 0 0.5 np 21 mn 3000
POSQE: QH=  1.1001, QK= -0.0001, QL=  0.0000, EN=  0.0002, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-28.3871, A2      =-56.7782, A3      =-69.2180, 
VARIA: A4      = 41.5470, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.6830, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.1001   -0.0001    0.0000    0.0002     3000    18879     19.95       64       11   1984944  41.5470 
   2    1.0997   -0.0001    0.0000    0.5001     3000    21120     21.97       11       15   2186962  40.8400 
   3    1.1002    0.0000    0.0000    1.0002     3000    21650     22.69        1        9   2258848  40.1370 
   4    1.1001    0.0000    0.0000    1.4997     3000    24613     25.79        4       11   2567859  39.3970 
   5    1.1001    0.0000    0.0000    2.0002     3000    26813     28.36        8       17   2823299  38.6450 
   6    1.1000    0.0001    0.0000    2.4999     3000    26618     28.24       11       26   2812425  37.8620 
   7    1.1001   -0.0000    0.0000    3.0002     3000    28913     30.24        7       11   3010261  37.0670 
   8    1.1001   -0.0000    0.0000    3.5003     3000    29109     30.84        5       13   3069750  36.2520 
   9    1.1001   -0.0000    0.0000    4.0000     3000    31381     32.87       11        9   3273047  35.4220 
  10    1.1001    0.0000    0.0000    4.5004     3000    35548     37.36       10       11   3718879  34.5750 
  11    1.0998   -0.0000    0.0000    4.9999     3000    41437     46.64        4       22   4286395  33.7020 
  12    1.1000   -0.0000    0.0000    5.5004     3000    35097     37.27        5       10   3708961  32.8270 
  13    1.1000    0.0001    0.0000    6.0007     3000    36969     38.74        2       15   3857493  31.9220 
  14    1.1000   -0.0002    0.0000    6.5005     3000    38406     40.22        7       10   4004494  31.0020 
  15    1.1000    0.0000    0.0000    7.0004     3000    44468     46.17        2       16   4595086  30.0570 
  16    1.1000    0.0000    0.0000    7.4995     3000    50421     52.82        9       10   5259881  29.0920 
  17    1.1000   -0.0001    0.0000    8.0007     3000    51182     53.39       10       14   5317752  28.1000 
  18    1.1000   -0.0000    0.0000    8.5005     3000    55046     57.53        7       14   5728763  27.0800 
  19    1.1000   -0.0000    0.0000    9.0000     3000    54398     56.89        4       13   5666148  26.0300 
  20    1.1000   -0.0001    0.0000    9.5001     3000    54795     60.60       10       16   5682653  24.9450 
  21    1.1001   -0.0001    0.0000    9.9998     3000    53486     56.13        1       18   5590771  23.8270 
