RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6644       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        06-Oct-2017 04:24:03
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6644
DATE_: 06-Oct-2017 04:24:03
TITLE: Pb (1.7 0 0) E scan
COMND: sc qh 1.7 0 0 5 dqh 0 0 0 0.5 np 21 mn 3000
POSQE: QH=  1.7000, QK=  0.0003, QL=  0.0000, EN=  0.0002, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-28.3871, A2      =-56.7782, A3      =-56.7730, 
VARIA: A4      = 66.4700, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.6830, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.7000    0.0003    0.0000    0.0002     3000    19115     20.03       73       42   1996318  66.4670 
   2    1.7001    0.0001    0.0000    0.5001     3000    20441     21.53       11       43   2146066  65.3220 
   3    1.7000    0.0000    0.0000    1.0002     3000    21587     22.20        9       85   2212593  64.2050 
   4    1.7001   -0.0001    0.0000    1.4997     3000    25290     26.49        5       64   2640066  63.1170 
   5    1.7002   -0.0000    0.0000    2.0002     3000    26659     27.59       25       52   2750073  62.0650 
   6    1.7001    0.0001    0.0000    2.4999     3000    26991     28.86       48       54   2876787  61.0250 
   7    1.7000    0.0002    0.0000    3.0002     3000    27784     29.18       43       66   2907531  60.0000 
   8    1.7001   -0.0002    0.0000    3.5003     3000    29009     30.55       40       68   3044892  59.0050 
   9    1.7000   -0.0001    0.0000    4.0000     3000    30805     32.50       24       55   3237912  58.0270 
  10    1.6999   -0.0001    0.0000    4.5004     3000    35632     37.28       19       48   3713274  57.0570 
  11    1.6999   -0.0001    0.0000    4.9999     3000    40809     42.95       28       43   4278648  56.1070 
  12    1.6999   -0.0002    0.0000    5.5004     3000    35825     39.25       41       34   3698164  55.1650 
  13    1.7000   -0.0001    0.0000    6.0007     3000    35970     37.96       18       37   3717880  54.2350 
  14    1.6999   -0.0000    0.0000    6.5005     3000    37070     38.91        6       24   3876589  53.3100 
  15    1.6999   -0.0000    0.0000    6.9997     3000    44105     46.21        4       28   4607256  52.3970 
  16    1.7000   -0.0002    0.0000    7.5003     3000    51957     54.39        5       19   5421393  51.4900 
  17    1.7000    0.0000    0.0000    8.0007     3000    54586     57.34        2       26   5715640  50.5900 
  18    1.7000    0.0001    0.0000    8.5005     3000    53864     56.48       11       17   5628479  49.6920 
  19    1.7000   -0.0000    0.0000    9.0000     3000    54822     57.57        4       24   5741353  48.8000 
  20    1.7001   -0.0001    0.0000    9.5001     3000    54527     56.95        2       21   5677977  47.9120 
  21    1.7000   -0.0001    0.0000    9.9998     3000    53918     59.49        1       19   5613397  47.0250 
