RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6650       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        06-Oct-2017 06:00:11
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6650
DATE_: 06-Oct-2017 06:00:11
TITLE: Pb (1.70 0 0) E scan
COMND: sc qh 1.70 0 0 5.25 dqh 0 0 0 0.5 np 20 mn 3000
POSQE: QH=  1.7001, QK=  0.0003, QL=  0.0000, EN=  0.2500, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-27.9181, A2      =-55.8402, A3      =-56.3850, 
VARIA: A4      = 65.8950, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.9500, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.7001    0.0003    0.0000    0.2500     3000    19611     20.45       20       34   2037758  65.8950 
   2    1.7001   -0.0000    0.0000    0.7499     3000    21510     22.63       12       65   2255030  64.7570 
   3    1.7001   -0.0000    0.0000    1.2498     3000    22369     23.65        7       69   2354964  63.6550 
   4    1.7002    0.0002    0.0000    1.7500     3000    25871     27.23       10       58   2711599  62.5900 
   5    1.7002   -0.0000    0.0000    2.2500     3000    26838     28.28       32       47   2817249  61.5400 
   6    1.7001   -0.0000    0.0000    2.7500     3000    28134     29.49       51       53   2938050  60.5120 
   7    1.7000   -0.0001    0.0000    3.2503     3000    28538     32.68       48       71   2983062  59.4970 
   8    1.7000    0.0001    0.0000    3.7505     3000    31019     32.74       18       55   3220506  58.5150 
   9    1.6999   -0.0001    0.0000    4.2497     3000    32141     33.72       17       63   3356943  57.5400 
  10    1.7000   -0.0002    0.0000    4.7504     3000    41120     43.24       35       40   4306846  56.5850 
  11    1.6998   -0.0001    0.0000    5.2497     3000    36828     38.74       36       18   3859798  55.6350 
  12    1.6999   -0.0000    0.0000    5.7507     3000    34472     36.38       21       35   3625064  54.6970 
  13    1.7000   -0.0001    0.0000    6.2508     3000    37896     39.85       13       22   3971307  53.7720 
  14    1.6999   -0.0001    0.0000    6.7503     3000    40422     41.99        7       28   4182821  52.8520 
  15    1.7000   -0.0000    0.0000    7.2501     3000    48640     51.20        5       21   5101735  51.9450 
  16    1.7000   -0.0000    0.0000    7.7501     3000    51672     55.16        9       19   5494907  51.0400 
  17    1.7000   -0.0000    0.0000    8.2504     3000    52806     55.50        5       17   5526145  50.1400 
  18    1.7000   -0.0001    0.0000    8.7507     3000    53864     59.58        7       20   5567177  49.2470 
  19    1.6999   -0.0000    0.0000    9.2499     3000    54190     56.98        5       19   5673784  48.3550 
  20    1.7001    0.0001    0.0000    9.7504     3000    54273     57.28        2       23   5705858  47.4700 
