RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6651       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        06-Oct-2017 06:15:54
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6651
DATE_: 06-Oct-2017 06:15:54
TITLE: Pb (1.65 0 0) E scan
COMND: sc qh 1.65 0 0 5.25 dqh 0 0 0 0.5 np 20 mn 3000
POSQE: QH=  1.6500, QK=  0.0000, QL=  0.0000, EN=  0.2500, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-27.9181, A2      =-55.8402, A3      =-57.4350, 
VARIA: A4      = 63.7200, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.9500, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.6500    0.0000    0.0000    0.2500     3000    19648     20.51       15       34   2043928  63.7220 
   2    1.6500    0.0001    0.0000    0.7499     3000    21557     22.74        6       39   2265558  62.6300 
   3    1.6500   -0.0001    0.0000    1.2498     3000    22789     23.94        4       44   2385584  61.5650 
   4    1.6502    0.0000    0.0000    1.7500     3000    24417     25.42       14       58   2532657  60.5320 
   5    1.6501    0.0001    0.0000    2.2500     3000    26317     27.75       14       42   2764570  59.5100 
   6    1.6502   -0.0000    0.0000    2.7500     3000    27065     28.10       52       47   2799851  58.5200 
   7    1.6500    0.0001    0.0000    3.2503     3000    29401     30.83       58       64   3072512  57.5270 
   8    1.6501   -0.0001    0.0000    3.7505     3000    30003     31.72       35       94   3161295  56.5600 
   9    1.6500   -0.0000    0.0000    4.2497     3000    31818     36.40        9       38   3310849  55.6070 
  10    1.6499    0.0001    0.0000    4.7504     3000    41477     43.52       12       44   4316021  54.6650 
  11    1.6499   -0.0003    0.0000    5.2497     3000    36088     38.03       26       32   3788479  53.7350 
  12    1.6499   -0.0001    0.0000    5.7507     3000    37098     39.08       37       34   3894531  52.8070 
  13    1.6500   -0.0002    0.0000    6.2508     3000    38142     39.73       28       23   3959840  51.8920 
  14    1.6500   -0.0000    0.0000    6.7503     3000    40346     42.15       21       26   4201834  50.9850 
  15    1.6500    0.0001    0.0000    7.2501     3000    49724     51.74        4       21   5156462  50.0820 
  16    1.6500   -0.0002    0.0000    7.7501     3000    53236     55.97        5       23   5576718  49.1850 
  17    1.6500    0.0001    0.0000    8.2504     3000    52107     54.89        2       22   5468338  48.2900 
  18    1.6500    0.0000    0.0000    8.7507     3000    55400     58.08        4       22   5786238  47.3970 
  19    1.6500   -0.0000    0.0000    9.2499     3000    53363     59.33        4       22   5553078  46.5100 
  20    1.6500    0.0000    0.0000    9.7504     3000    54861     57.73        2       22   5751880  45.6200 
