RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6652       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        06-Oct-2017 06:31:37
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6652
DATE_: 06-Oct-2017 06:31:37
TITLE: Pb (1.60 0 0) E scan
COMND: sc qh 1.60 0 0 5.25 dqh 0 0 0 0.5 np 20 mn 3000
POSQE: QH=  1.6001, QK= -0.0000, QL=  0.0000, EN=  0.2500, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-27.9181, A2      =-55.8402, A3      =-58.4750, 
VARIA: A4      = 61.5750, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.9500, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.6001   -0.0000    0.0000    0.2500     3000    19424     20.44       17       27   2037338  61.5750 
   2    1.5998   -0.0001    0.0000    0.7499     3000    21456     22.40        3       27   2231748  60.5170 
   3    1.6000   -0.0000    0.0000    1.2498     3000    23088     24.10        8       29   2399864  59.4970 
   4    1.6000    0.0000    0.0000    1.7500     3000    25763     27.00        9       41   2689183  58.4920 
   5    1.6002    0.0001    0.0000    2.2500     3000    26807     28.08       13       43   2797485  57.5100 
   6    1.5998   -0.0001    0.0000    2.7500     3000    27003     28.41       33       43   2831317  56.5250 
   7    1.6002    0.0000    0.0000    3.2503     3000    28700     30.16       57       55   3004893  55.5750 
   8    1.6000    0.0001    0.0000    3.7505     3000    30645     32.03       27       44   3191507  54.6250 
   9    1.6000   -0.0001    0.0000    4.2497     3000    32236     33.75        7       30   3364077  53.6870 
  10    1.6000   -0.0001    0.0000    4.7504     3000    41127     43.16        8       21   4300554  52.7600 
  11    1.5999   -0.0002    0.0000    5.2497     3000    36670     41.49        9       36   3827019  51.8450 
  12    1.5999   -0.0000    0.0000    5.7507     3000    36700     38.73       16       36   3857601  50.9300 
  13    1.5999   -0.0001    0.0000    6.2501     3000    36680     38.53       32       17   3841435  50.0250 
  14    1.6000    0.0001    0.0000    6.7503     3000    38843     40.79       23       46   4064782  49.1250 
  15    1.5999   -0.0001    0.0000    7.2501     3000    48765     67.56        6       27   5069645  48.2250 
  16    1.6000   -0.0002    0.0000    7.7501     3000    53339     56.01        6       28   5567206  47.3320 
  17    1.6000    0.0000    0.0000    8.2504     3000    54570     57.11        5       18   5690933  46.4400 
  18    1.6000    0.0001    0.0000    8.7507     3000    54128     56.57        3       24   5634872  45.5500 
  19    1.5999   -0.0001    0.0000    9.2499     3000    54680     60.81        4       19   5710530  44.6600 
  20    1.6000    0.0000    0.0000    9.7504     3000    54695     57.43        3       14   5713238  43.7700 
