RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6655       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        06-Oct-2017 07:19:26
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6655
DATE_: 06-Oct-2017 07:19:26
TITLE: Pb (1.45 0 0) E scan
COMND: sc qh 1.45 0 0 5.25 dqh 0 0 0 0.5 np 20 mn 3000
POSQE: QH=  1.4500, QK= -0.0000, QL=  0.0000, EN=  0.2500, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-27.9181, A2      =-55.8402, A3      =-61.5250, 
VARIA: A4      = 55.2720, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.9500, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.4500   -0.0000    0.0000    0.2500     3000    19548     23.57       18       21   2035636  55.2720 
   2    1.4502    0.0002    0.0000    0.7499     3000    21358     22.71        3       14   2248556  54.3370 
   3    1.4499   -0.0000    0.0000    1.2498     3000    22389     23.53        6       19   2344329  53.4150 
   4    1.4502    0.0001    0.0000    1.7500     3000    25884     27.25        3       22   2714241  52.5050 
   5    1.4499   -0.0001    0.0000    2.2500     3000    28021     29.31        2       21   2920233  51.5850 
   6    1.4501   -0.0000    0.0000    2.7500     3000    27141     28.54       11       34   2843878  50.6900 
   7    1.4501    0.0001    0.0000    3.2503     3000    27907     29.26       22       28   2914377  49.7870 
   8    1.4501   -0.0000    0.0000    3.7505     3000    29294     30.76        6       22   3064434  48.8920 
   9    1.4500    0.0001    0.0000    4.2497     3000    32938     34.58        8       11   3445410  48.0050 
  10    1.4499   -0.0001    0.0000    4.7504     3000    41594     43.13        5       14   4296162  47.1070 
  11    1.4500   -0.0000    0.0000    5.2503     3000    36310     38.15        5       16   3799302  46.2300 
  12    1.4500   -0.0001    0.0000    5.7507     3000    35986     37.98        5       18   3781770  45.3400 
  13    1.4500   -0.0000    0.0000    6.2508     3000    37023     38.83        5       14   3866818  44.4550 
  14    1.4500   -0.0001    0.0000    6.7503     3000    40533     45.71        6       19   4212089  43.5700 
  15    1.4500   -0.0000    0.0000    7.2501     3000    50394     53.00        9       22   5266782  42.6800 
  16    1.4500   -0.0000    0.0000    7.7501     3000    52365     55.02       17       11   5479075  41.7900 
  17    1.4500    0.0001    0.0000    8.2504     3000    52401     55.16        8       19   5493336  40.8950 
  18    1.4500    0.0000    0.0000    8.7507     3000    55054     58.15        5       23   5792620  39.9950 
  19    1.4501   -0.0001    0.0000    9.2499     3000    55362     57.99        3       20   5774899  39.0970 
  20    1.4501   -0.0001    0.0000    9.7504     3000    54897     57.37        1       12   5714158  38.1820 
